4,Cobro remesa nº 38 FACTURA N. C/5241 - 1,25,2020-8-3,2023-07-36063
4,Cobro remesa nº 35 FACTURA N. C/4171 - 1,25,2020-7-1,2023-07-36064
4,Cobro remesa nº 29 FACTURA N. C/3166 - 1,25,2020-6-1,2023-07-36065
4,Cobro remesa nº 26 FACTURA N. C/2199 - 1,25,2020-5-4,2023-07-36066
4,Cobro remesa nº 24 FACTURA N. C/1259 - 1,25,2020-4-1,2023-07-36067
4,Cobro remesa nº 21 FACTURA N. C/694 - 1,25,2020-3-2,2023-07-36068
4,Cobro remesa nº 20 FACTURA N. C/313 - 1,25,2020-2-3,2023-07-36069
4,Cobro remesa nº 195 FACTURA N. C/5371 - 1,25,2023-6-1,2023-07-36070
4,Cobro remesa nº 187 FACTURA N. C/4207 - 1,25,2023-5-1,2023-07-36071
4,Cobro remesa nº 184 FACTURA N. C/3133 - 1,25,2023-4-3,2023-07-36072
4,Cobro remesa nº 182 FACTURA N. C/2047 - 1,25,2023-3-3,2023-07-36073
4,Cobro remesa nº 18 FACTURA N. C/4 - 1,25,2020-1-1,2023-07-36074
4,Cobro remesa nº 174 FACTURA N. C/1007 - 1,25,2023-2-2,2023-07-36075
4,Cobro remesa nº 172 FACTURA N. C/3 - 1,25,2023-1-2,2023-07-36076
4,Cobro remesa nº 167 FACTURA N. C/10830 - 1,25,2022-12-2,2023-07-36077
4,Cobro remesa nº 163 FACTURA N. C/9830 - 1,25,2022-11-2,2023-07-36078
4,Cobro remesa nº 158 FACTURA N. C/8776 - 1,25,2022-10-1,2023-07-36079
4,Cobro remesa nº 155 FACTURA N. C/7759 - 1,25,2022-9-1,2023-07-36080
4,Cobro remesa nº 150 FACTURA N. C/6772 - 1,25,2022-8-1,2023-07-36081
4,Cobro remesa nº 15 FACTURA N. C/305 - 1,25,2019-12-1,2023-07-36082
4,Cobro remesa nº 145 FACTURA N. C/5804 - 1,25,2022-7-1,2023-07-36083
4,Cobro remesa nº 142 FACTURA N. C/4808 - 1,25,2022-6-1,2023-07-36084
4,Cobro remesa nº 138 FACTURA N. C/3848 - 1,25,2022-5-2,2023-07-36085
4,Cobro remesa nº 132 FACTURA N. C/2889 - 1,25,2022-4-1,2023-07-36086
4,Cobro remesa nº 13 FACTURA N. C/37 - 1,25,2019-11-12,2023-07-36087
4,Cobro remesa nº 13 FACTURA N. C/152 - 1,8.06,2019-11-12,2023-07-36088
4,Cobro remesa nº 129 FACTURA N. C/1928 - 1,25,2022-2-1,2023-07-36089
4,Cobro remesa nº 124 FACTURA N. C/960 - 1,25,2022-2-1,2023-07-36090
4,Cobro remesa nº 120 FACTURA N. C/3 - 1,25,2022-1-3,2023-07-36091
4,Cobro remesa nº 113 FACTURA N. C/10884 - 1,25,2021-12-1,2023-07-36092
4,Cobro remesa nº 111 FACTURA N. C/9904 - 1,25,2021-11-2,2023-07-36093
4,Cobro remesa nº 108 FACTURA N. C/8908 - 1,25,2021-10-1,2023-07-36094
4,Cobro remesa nº 103 FACTURA N. C/7941 - 1,25,2021-9-1,2023-07-36095
21,DEVOLUCINO FACTURA,36,2021-8-6,2023-07-36096
21,Cobro remesa nº 95 FACTURA N. C/6957 - 1,36,2021-8-9,2023-07-36097
21,Cobro remesa nº 89 FACTURA N. C/6957 - 1,36,2021-8-2,2023-07-36098
21,Cobro remesa nº 83 FACTURA N. C/5981 - 1,36,2021-7-1,2023-07-36099
21,Cobro remesa nº 81 FACTURA N. C/5009 - 1,36,2021-6-1,2023-07-36100
21,Cobro remesa nº 77 FACTURA N. C/4043 - 1,36,2021-5-3,2023-07-36101
21,Cobro remesa nº 71 FACTURA N. C/3061 - 1,36,2021-4-1,2023-07-36102
21,Cobro remesa nº 66 FACTURA N. C/2068 - 1,36,2021-3-1,2023-07-36103
21,Cobro remesa nº 61 FACTURA N. C/1040 - 1,36,2021-2-1,2023-07-36104
21,Cobro remesa nº 58 FACTURA N. C/19 - 1,36,2021-1-4,2023-07-36105
21,Cobro remesa nº 54 FACTURA N. C/9658 - 1,36,2020-12-1,2023-07-36106
21,Cobro remesa nº 51 FACTURA N. C/8610 - 1,36,2020-11-2,2023-07-36107
21,Cobro remesa nº 5 FACTURA N. C/167 - 1,8.87,2019-11-5,2023-07-36108
21,Cobro remesa nº 47 FACTURA N. C/7484 - 1,36,2020-10-1,2023-07-36109
21,Cobro remesa nº 45 FACTURA N. C/6362 - 1,36,2020-9-1,2023-07-36110
21,Cobro remesa nº 4 FACTURA N. C/52 - 1,39.9,2019-11-4,2023-07-36111
21,Cobro remesa nº 38 FACTURA N. C/5256 - 1,36,2020-8-3,2023-07-36112
21,Cobro remesa nº 35 FACTURA N. C/4186 - 1,36,2020-7-1,2023-07-36113
21,Cobro remesa nº 29 FACTURA N. C/3180 - 1,36,2020-6-1,2023-07-36114
21,Cobro remesa nº 26 FACTURA N. C/2214 - 1,36,2020-5-4,2023-07-36115
21,Cobro remesa nº 24 FACTURA N. C/1274 - 1,36,2020-4-1,2023-07-36116
21,Cobro remesa nº 21 FACTURA N. C/709 - 1,36,2020-3-2,2023-07-36117
21,Cobro remesa nº 20 FACTURA N. C/328 - 1,36,2020-2-3,2023-07-36118
21,Cobro remesa nº 195 FACTURA N. C/5384 - 1,36,2023-6-1,2023-07-36119
21,Cobro remesa nº 187 FACTURA N. C/4220 - 1,36,2023-5-1,2023-07-36120
21,Cobro remesa nº 184 FACTURA N. C/3145 - 1,36,2023-4-3,2023-07-36121
21,Cobro remesa nº 182 FACTURA N. C/2059 - 1,36,2023-3-3,2023-07-36122
21,Cobro remesa nº 18 FACTURA N. C/19 - 1,36,2020-1-1,2023-07-36123
21,Cobro remesa nº 174 FACTURA N. C/1019 - 1,36,2023-2-2,2023-07-36124
21,Cobro remesa nº 172 FACTURA N. C/15 - 1,36,2023-1-2,2023-07-36125
21,Cobro remesa nº 167 FACTURA N. C/10842 - 1,36,2022-12-2,2023-07-36126
21,Cobro remesa nº 163 FACTURA N. C/9842 - 1,36,2022-11-2,2023-07-36127
21,Cobro remesa nº 158 FACTURA N. C/8788 - 1,36,2022-10-1,2023-07-36128
21,Cobro remesa nº 155 FACTURA N. C/7771 - 1,36,2022-9-1,2023-07-36129
21,Cobro remesa nº 150 FACTURA N. C/6785 - 1,36,2022-8-1,2023-07-36130
21,Cobro remesa nº 15 FACTURA N. C/320 - 1,36,2019-12-1,2023-07-36131
21,Cobro remesa nº 145 FACTURA N. C/5817 - 1,36,2022-7-1,2023-07-36132
21,Cobro remesa nº 142 FACTURA N. C/4821 - 1,36,2022-6-1,2023-07-36133
21,Cobro remesa nº 138 FACTURA N. C/3861 - 1,36,2022-5-2,2023-07-36134
21,Cobro remesa nº 132 FACTURA N. C/2902 - 1,36,2022-4-1,2023-07-36135
21,Cobro remesa nº 129 FACTURA N. C/1941 - 1,36,2022-2-1,2023-07-36136
21,Cobro remesa nº 124 FACTURA N. C/973 - 1,36,2022-2-1,2023-07-36137
21,Cobro remesa nº 120 FACTURA N. C/15 - 1,36,2022-1-3,2023-07-36138
21,Cobro remesa nº 113 FACTURA N. C/10896 - 1,36,2021-12-1,2023-07-36139
21,Cobro remesa nº 111 FACTURA N. C/9917 - 1,36,2021-11-2,2023-07-36140
21,Cobro remesa nº 108 FACTURA N. C/8920 - 1,36,2021-10-1,2023-07-36141
21,Cobro remesa nº 103 FACTURA N. C/7955 - 1,36,2021-9-1,2023-07-36142
