720,DEVOLUCION FACTURA,155,2023-5-8,2023-07-00082
720,DEVOLUCION FACTURA,155,2023-6-6,2023-07-00083
586,DEVOLUCINO FACTURA,155,2020-8-5,2023-07-00084
586,DEVOLUCINO FACTURA,155,2021-2-5,2023-07-00085
586,DEVOLUCINO FACTURA,155,2021-2-18,2023-07-00086
1198,DEVOLUCINO FACTURA,150,2021-1-12,2023-07-00087
586,Devolucion de factura,150,2021-8-4,2023-07-00088
368,Devolucion de factura,150,2021-8-4,2023-07-00089
1565,DEVOLUCION FACTURA,120,2022-10-11,2023-07-00090
1453,DEVOLUCION FACTURA,120,2022-10-4,2023-07-00091
1149,DEVOLUCINO FACTURA,113.9,2021-8-4,2023-07-00092
191,DEVOLUCION FACTURA,110,2020-1-3,2023-07-00093
191,DEVOLUCINO FACTURA,110,2020-2-5,2023-07-00094
550,DEVOLUCION FACTURA,105,2023-5-8,2023-07-00095
550,DEVOLUCION FACTURA,105,2023-5-19,2023-07-00096
191,DEVOLUCINO FACTURA,105,2019-12-9,2023-07-00097
1445,DEVOLUCION FACTURA,104,2022-12-5,2023-07-00098
1152,DEVOLUCINO FACTURA,104,2021-8-10,2023-07-00099
1150,DEVOLUCION FACTURAS,104,2020-8-24,2023-07-00100
1132,DEVOLUCINO FACTURA,104,2021-1-6,2023-07-00101
1131,DEVOLUCINO FACTURA,104,2020-7-3,2023-07-00102
1111,DEVOLUCION FACTURA,104,2022-12-6,2023-07-00103
1111,DEVOLUCION FACTURA,104,2022-12-21,2023-07-00104
1110,DEVOLUCINO FACTURA,104,2021-6-3,2023-07-00105
1110,DEVOLUCINO FACTURA,104,2021-7-2,2023-07-00106
1110,DEVOLUCINO FACTURA,104,2021-8-6,2023-07-00107
743,DEVOLUCION FACTURA,104,2022-4-5,2023-07-00108
1083,DEVOLUCINO FACTURA,101,2020-11-9,2023-07-00109
550,DEVOLUCION FACTURA,100,2021-8-5,2023-07-00110
191,DEVOLUCINO FACTURA,100,2020-10-4,2023-07-00111
47,DEVOLUCION 5 FACTURAS,100,2020-1-7,2023-07-00112
1157,DEVOLUCINO FACTURA,99,2021-8-6,2023-07-00113
1156,DEVOLUCION FACTURA,99,2021-8-5,2023-07-00114
1155,DEVOLUCINO FACTURA,99,2021-8-6,2023-07-00115
1154,DEVOLUCINO FACTURA,99,2021-8-4,2023-07-00116
1153,DEVOLUCINO FACTURA,99,2021-8-4,2023-07-00117
1152,DEVOLUCINO FACTURA,99,2021-8-4,2023-07-00118
1151,DEVOLUCINO FACTURA,99,2021-8-4,2023-07-00119
1150,DEVOLUCINO FACTURA,99,2021-8-6,2023-07-00120
1146,DEVOLUCINO FACTURA,99,2021-8-4,2023-07-00121
1144,DEVOLUCINO FACTURA,99,2021-8-4,2023-07-00122
1143,DEVOLUCINO FACTURA,99,2021-8-6,2023-07-00123
1142,DEVOLUCINO FACTURA,99,2021-8-6,2023-07-00124
954,Devolucion de factura,99,2021-8-4,2023-07-00125
831,DEVOLUCINO FACTURA,99,2021-8-6,2023-07-00126
1114,DEVOLUCION FACTURA,95,2021-12-3,2023-07-00127
1725,DEVOLUCION FACTURA,90,2022-6-17,2023-07-00128
753,DEVOLUCINO FACTURA,90,2020-12-7,2023-07-00129
548,DEVOLUCION FACTURAS,85,2020-9-3,2023-07-00130
1154,DEVOLUCION FACTURA,84.99,2023-5-8,2023-07-00131
10727,Devolucion de factura,80,2021-8-4,2023-07-00132
1168,DEVOLUCION FACTURA,80,2022-11-7,2023-07-00133
389,DEVOLUCION FACTURAS,75.5,2020-9-4,2023-07-00134
609,DEVOLUCINO FACTURA,75,2021-8-6,2023-07-00135
10595,DEVOLUCION FACTURA,73.09,2023-5-8,2023-07-00136
10101,DEVOLUCINO FACTURA,71,2020-8-7,2023-07-00137
389,DEVOLUCINO FACTURA,70.5,2020-8-6,2023-07-00138
111421,DEVOLUCION FACTURA,70.14,2023-5-8,2023-07-00139
224,Devolucion de factura,70,2021-8-4,2023-07-00140
224,DEVOLUCINO FACTURA,70,2021-8-4,2023-07-00141
346,DEVOLUCION FACTURA,68.75,2022-6-3,2023-07-00142
346,Devolucion de factura,68.75,2022-5-6,2023-07-00143
82,DEVOLUCION FACTURA,68.34,2023-3-7,2023-07-00144
111421,DEVOLUCION FACTURA,66.67,2023-6-9,2023-07-00145
1017,Devolucion de factura,66.13,2021-8-4,2023-07-00146
1017,DEVOLUCINO FACTURA,66.13,2021-8-27,2023-07-00147
1072,DEVOLUCINO FACTURA,66,2021-8-4,2023-07-00148
389,DEVOLUCION FACTURAS,65.5,2020-9-4,2023-07-00149
